id;tipo_contacto;descricao;contacto;pessoa_id
1;Awesome Frozen Switchable;Louisiana Coordinator;Implemented hard drive Liaison;1
2;Estates;Investment Account program;Pennsylvania;2
3;GB Brunei Dollar;Identity;connecting impactful;3
4;Kentucky Investment Account;Pula;Interactions RSS;4
5;quantify innovate;deposit Massachusetts deliver;Mouse Generic Frozen Pizza Shoes;5
6;grow even-keeled;invoice Pakistan Rupee;Small;6
7;Frozen;Games;experiences synergistic invoice;7
8;Metal;cross-platform Security;Car scale;8
9;orchestrate solid state;teal green optimal;Supervisor;9
10;collaboration;Cotton Libyan Dinar;De-engineered;10
