id;valor;nome;type
1;Ergonomic redefine Home Loan Account;Wooden;USUARIO
2;context-sensitive;Rubber;USUARIO
3;Gibraltar;Quality dot-com;USUARIO
4;Soap Kids Kids;North Dakota toolset Savings Account;SISTEMA
5;deposit;Branding Unbranded deposit;USUARIO
6;convergence Rustic;collaboration hack;SISTEMA
7;optical best-of-breed synthesize;cross-platform;SISTEMA
8;black Tasty Rubber Hat transmit;multimedia clear-thinking;SISTEMA
9;Towels Bike;override Bedfordshire pixel;SISTEMA
10;calculate e-business;Wooden Investment Account Ergonomic Plastic Gloves;USUARIO
