id;serie;sequencia;entidade
1;Chair regional;92871;JSON
2;Tools Tasty;25841;Practical
3;SCSI revolutionize 1080p;92155;New Hampshire generate Small
4;Grove;74669;Small Soft Bike Western Sahara
5;Investor red Streamlined;70232;Cambridgeshire Avon
6;port Assistant;29222;Consultant Licensed compress
7;Handmade Cotton Mouse Vermont Som;1204;budgetary management Granite
8;Rustic Fresh Table deposit 6th generation;31621;dynamic drive Utah
9;invoice Technician;72353;HTTP USB reboot
10;Pre-emptive Faroe Islands Engineer;23406;intuitive Nakfa whiteboard
