id;numero_talao;data_deposito;valor;saldo;utilizador_id;meio_liquidacao_id;aluno_id;conta_id
1;azure;2019-12-25;36120;55263;1;1;1;1
2;Port;2019-12-25;70783;54182;2;2;2;2
3;navigating Rial Omani Flat;2019-12-26;29941;67321;1;3;3;3
4;Macao budgetary management Mews;2019-12-26;71823;53067;2;4;4;4
5;Handmade Frozen Tuna infrastructures Avon;2019-12-26;29903;67585;2;5;5;5
6;monitoring;2019-12-26;62264;17400;1;6;6;6
7;paradigm Small Frozen Sausages Fresh;2019-12-25;77173;22684;1;7;7;7
8;paradigm Industrial;2019-12-26;85427;43974;2;8;8;8
9;granular back up;2019-12-25;36402;53441;2;9;9;9
10;Industrial;2019-12-25;90841;53978;2;10;10;10
