id;nome;valor;valor_multa;tempo_multa;quantidade
1;Cambridgeshire;93894;31899;44939;30546
2;wireless middleware;34002;2451;13227;96204
3;Congolese Franc withdrawal solutions;99305;57090;35254;77055
4;deposit Home;32763;9146;54694;60391
5;Technician Auto Loan Account Buckinghamshire;81347;98817;78348;17232
6;productize;11811;93710;81654;23419
7;Practical Steel Table Mouse;68005;96931;52343;66587
8;SMS Soft;2529;10964;87739;18340
9;Outdoors relationships;22836;69121;88907;15772
10;Cotton tan Handcrafted Fresh Shirt;68037;70933;27669;19035
