id;nome;juro;prazo_liquidacao;quantidade;icon
1;responsive;1;56125;72478;Berkshire
2;Dynamic Savings Account South Carolina;15;90886;99974;Markets user-facing
3;synergistic synthesize;16;2581;61964;incentivize Auto Loan Account
4;Money Market Account sticky analyzing;58;22634;66154;Ergonomic Steel Fish
5;teal Rand Namibia Dollar;46;25786;74179;Rustic Concrete Chair
6;National;67;54155;35600;24/7 West Virginia
7;connecting;1;10196;92658;wireless
8;Plastic purple;32;16248;56876;Accounts Oval 1080p
9;Jamaican Dollar payment Rubber;22;60925;65182;Human Investor
10;Monitored;19;57353;97863;SMS Vanuatu Total
