id;nome;sigla;icon;mostrar_ponto_venda
1;Kwacha synthesize;schemas Frozen mint green;Heard Island and McDonald Islands Soft impactful;true
2;task-force;hybrid;Borders;false
3;Programmable;Practical;purple;true
4;implementation Somalia;compelling Alley;embrace;false
5;sky blue;Bacon;parsing;true
6;calculating Designer magenta;invoice Orchestrator;Practical;true
7;optical Borders;Shoes Vermont Money Market Account;Massachusetts Architect Station;false
8;New York;Iraq Research;Cotton;true
9;Data Jewelery dynamic;Face to face Faroe Islands;invoice Intelligent;false
10;Austria purple IB;unleash Director Assistant;mission-critical Gloves Plastic;true
