id;data;numero;utilizador_id;aluno_id;forma_liquidacao_id
1;2019-12-26T00:28:26;Tools synthesizing cross-platform;2;1;1
2;2019-12-26T06:07:35;Wooden Berkshire Cambridgeshire;1;2;2
3;2019-12-25T21:52:20;Hat Awesome;2;3;3
4;2019-12-25T14:25:53;users;2;4;4
5;2019-12-25T13:54:13;online driver;1;5;5
6;2019-12-25T15:40:08;West Virginia compress;2;6;6
7;2019-12-25T15:24:05;Mobility;2;7;7
8;2019-12-26T06:51:23;Facilitator Tunisian Dinar;1;8;8
9;2019-12-26T09:40:44;Burg red;2;9;9
10;2019-12-26T06:01:54;optical Brand actuating;2;10;10
