id;aprova_com;reporva_com;recurso_com;faz_exame;faz_recurso;faz_exame_especial;numero_falta_reprova;menor_nota;maior_nota;nota_minima_aprovacao
1;38745;2560;15209;true;true;true;98161;63132;50230;26408
2;91679;39352;35484;false;false;true;9758;20599;88719;3818
3;95023;13441;48124;false;true;false;73850;85446;84990;17091
4;11476;46881;47719;false;false;true;46350;43885;70824;12764
5;13282;96347;11968;true;true;false;61187;52547;54806;44913
6;78048;20006;32579;true;false;false;35925;34726;63266;56454
7;33038;77070;46595;true;false;true;56093;71187;17156;34853
8;54740;51157;45491;true;true;false;97469;62296;35284;29962
9;16359;32560;39593;true;true;true;93560;75548;25519;10718
10;53776;33894;27648;true;false;true;60998;76243;99841;39459
