id;nome;sigla;competencias;area_formacao_id
1;Kansas Kazakhstan payment;ADP SMS;../fake-data/blob/hipster.txt;1
2;calculating;backing up p;../fake-data/blob/hipster.txt;2
3;Graphic Interface SSL;Hat 6th gene;../fake-data/blob/hipster.txt;3
4;mobile Luxembourg;hack Soft;../fake-data/blob/hipster.txt;4
5;Swedish Krona multi-byte;Hill;../fake-data/blob/hipster.txt;5
6;Gorgeous Granite Pants;e-business l;../fake-data/blob/hipster.txt;6
7;infrastructures;withdrawal I;../fake-data/blob/hipster.txt;7
8;Pakistan Rupee;Developer Ge;../fake-data/blob/hipster.txt;8
9;TowelsXXXX;auxiliary Bi;../fake-data/blob/hipster.txt;9
10;Saudi Arabia Branding;Small Frozen;../fake-data/blob/hipster.txt;10
