id;periodo_lectivo;ano_lectivo;objectivo_geral;objectivo_especifico;semana_lectiva;de;ate;conteudo;procedimento_ensino;recursos_didatico;tempo_aula;forma_avaliacao;disciplina_id
1;Savings Account Games interactive;2019-12-25;zero defect synthesize;../fake-data/blob/hipster.txt;59626;2019-12-26;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T17:00:21;Unbranded mobile EXE;1
2;Investor;2019-12-25;SAS ivory Republic of Korea;../fake-data/blob/hipster.txt;98196;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-26T08:47:40;circuit Unbranded;2
3;Investment Account;2019-12-26;invoice;../fake-data/blob/hipster.txt;67062;2019-12-26;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T22:40:45;SQL Checking Account;3
4;GB human-resource enhance;2019-12-26;synergies overriding;../fake-data/blob/hipster.txt;89168;2019-12-26;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T23:36:37;haptic hack Inverse;4
5;Saint Helena Pound;2019-12-26;Maine;../fake-data/blob/hipster.txt;49702;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T13:19:04;orchestrate transmitting virtual;5
6;Sleek synthesizing;2019-12-25;Program;../fake-data/blob/hipster.txt;95136;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T13:22:06;envisioneer;6
7;Solomon Islands Sports Boliviano Mvdol;2019-12-25;synthesize Customer;../fake-data/blob/hipster.txt;67048;2019-12-26;2019-12-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T15:57:32;integrate;7
8;International contingency bypass;2019-12-25;Forint Gorgeous Highway;../fake-data/blob/hipster.txt;40223;2019-12-26;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-26T00:24:35;scalable database;8
9;cyan Buckinghamshire;2019-12-25;Ergonomic Metal Tuna;../fake-data/blob/hipster.txt;49892;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-25T18:43:13;program;9
10;leverage;2019-12-25;Distributed;../fake-data/blob/hipster.txt;19258;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-26T10:45:29;Money Market Account International RAM;10
