id;inicio_aula;termino_alua;intervalo;dia_semana;regime_curricular;data;ano_lectivo;categoria;turma_id;professor_id;disciplina_id
1;2019-12-26T00:32:46;2019-12-26T09:06:42;2019-12-26T02:58:13;24/365 Corporate Computer;withdrawal;2019-12-26T06:59:20;2019-12-25;Devolved;1;1;1
2;2019-12-26T04:37:32;2019-12-25T18:08:14;2019-12-25T15:37:35;neural Jewelery;solid state Plastic;2019-12-25T15:24:23;2019-12-26;forecast Ways;2;2;2
3;2019-12-25T19:28:34;2019-12-25T15:21:00;2019-12-26T00:54:55;Home Loan Account Bike;invoice Awesome;2019-12-25T22:25:23;2019-12-26;Infrastructure incubate;3;3;3
4;2019-12-26T05:53:27;2019-12-26T09:12:12;2019-12-25T10:56:35;Maryland synthesizing scale;Towels Cheese deposit;2019-12-26T04:05:00;2019-12-25;forecast;4;4;4
5;2019-12-25T20:16:29;2019-12-26T03:52:47;2019-12-25T14:06:53;niches pricing structure;hard drive;2019-12-25T20:41:48;2019-12-25;Awesome Cotton Salad Dominican Peso Dynamic;5;5;5
6;2019-12-26T02:31:23;2019-12-26T05:00:09;2019-12-26T03:23:41;Handcrafted Tasty;radical Infrastructure;2019-12-25T16:24:56;2019-12-25;Jewelery Steel;6;6;6
7;2019-12-26T07:22:28;2019-12-25T11:38:00;2019-12-25T12:41:13;software Accountability;primary Refined Lao People's Democratic Republic;2019-12-26T04:49:41;2019-12-25;solution-oriented;7;7;7
8;2019-12-26T06:26:28;2019-12-25T20:36:27;2019-12-25T11:24:11;AGP Table;strategize connect;2019-12-25T23:31:12;2019-12-25;Investment Account;8;8;8
9;2019-12-25T18:25:37;2019-12-25T12:52:54;2019-12-26T10:31:53;driver Fantastic Money Market Account;encryption navigate artificial intelligence;2019-12-26T04:25:46;2019-12-25;maximize Tools;9;9;9
10;2019-12-26T08:51:31;2019-12-26T01:23:20;2019-12-26T01:06:38;Devolved portal;Borders Pula;2019-12-26T04:38:56;2019-12-25;Fantastic Rubber Salad;10;10;10
