id;carga_horaria;descricao;terminal;regime_curricular;componente;disciplina_id;classe_id
1;63863;Representative primary Money Market Account;false;Jamaica;Product Rustic Concrete Cheese;1;1
2;74065;withdrawal;true;Investment Account Marketing Garden;plum;2;2
3;80100;Sleek end-to-end Uganda;true;Computer contingency channels;Cayman Islands Indian Rupee Ngultrum;3;3
4;76670;platforms;true;eyeballs copy program;dynamic HDD;4;4
5;36620;Communications Oregon models;false;system engine Tasty;EXE;5;5
6;31753;enhance digital;true;Corporate Checking Account payment;Centralized;6;6
7;71353;Checking Account;false;PNG;backing up Oklahoma;7;7
8;92395;connecting haptic;true;Path;Licensed Fresh Computer copying Practical;8;8
9;19039;Future Berkshire;true;wireless generating Personal Loan Account;Cordoba Oro THX Steel;9;9
10;77535;transparent Sudan;true;Buckinghamshire Car;online tan;10;10
