id;data;sumario;licao;dada;turma_id
1;2019-12-26T06:27:21;Handmade Steel Computer Inverse Haven;78025;false;1
2;2019-12-26T00:55:33;Coordinator Savings Account ubiquitous;82308;false;2
3;2019-12-25T12:26:52;firewall Idaho Adaptive;36456;false;3
4;2019-12-26T01:50:41;Vista Engineer;19754;true;4
5;2019-12-25T13:51:35;incubate optical;30447;false;5
6;2019-12-25T19:31:10;XML;32238;true;6
7;2019-12-25T21:03:17;SAS auxiliary;65329;true;7
8;2019-12-25T15:25:28;IB Tactics Proactive;4163;false;8
9;2019-12-25T12:37:21;Svalbard & Jan Mayen Islands Gloves;66345;true;9
10;2019-12-25T16:46:00;reinvent Alabama Program;64259;false;10
