id;valor;data;ano_lectivo;periodo_lectivo;disciplina_id;turma_id;matricula_id
1;11;2019-12-25T22:24:34;2019-12-26;XML;1;1;1
2;2;2019-12-26T04:07:20;2019-12-25;European Unit of Account 17(E.U.A.-17);2;2;2
3;6;2019-12-26T03:59:05;2019-12-26;Islands seamless;3;3;3
4;18;2019-12-25T12:49:44;2019-12-25;Guinea Franc Phased;4;4;4
5;1;2019-12-25T15:12:34;2019-12-25;USB Toys;5;5;5
6;6;2019-12-26T08:41:08;2019-12-26;Paradigm;6;6;6
7;14;2019-12-25T22:54:11;2019-12-26;Auto Loan Account Guinea-Bissau;7;7;7
8;8;2019-12-25T17:18:28;2019-12-26;Brooks Credit Card Account;8;8;8
9;8;2019-12-25T21:53:23;2019-12-25;Personal Loan Account Money Market Account;9;9;9
10;9;2019-12-25T13:41:43;2019-12-25;Licensed;10;10;10
