id;tipo_subscricao;inicio;fim;data;valor;codigo;numero_usuario;numero_instituicao_ensino;instituicao_ensino_id
1;COM;2019-12-26T00:32:47;2019-12-26T02:42:00;2019-12-25T11:34:49;7300;Open-source Auto Loan Account;10767;48638;1
2;B2C Cross-platform;2019-12-25T22:22:19;2019-12-25T21:51:49;2019-12-25T13:05:31;62271;Rhode Island;71395;23574;2
3;Granite Fresh solid state;2019-12-25T17:08:49;2019-12-26T01:50:27;2019-12-25T18:00:03;16822;THX;42168;26517;3
4;Sleek;2019-12-26T08:40:33;2019-12-26T09:39:28;2019-12-25T18:35:03;92519;driver;27301;42277;4
5;content-based maximized clear-thinking;2019-12-26T09:06:21;2019-12-26T02:23:08;2019-12-25T22:13:46;34598;Home Loan Account Sausages;16334;78127;5
6;Pre-emptive;2019-12-25T16:46:26;2019-12-25T11:40:53;2019-12-25T18:31:43;40261;1080p Borders Small Soft Chair;39719;31968;6
7;invoice haptic Rubber;2019-12-25T12:03:15;2019-12-25T11:09:38;2019-12-26T04:26:32;22210;RAM bypassing Chair;37838;61694;7
8;Kentucky viral;2019-12-26T03:22:00;2019-12-25T23:07:13;2019-12-26T05:50:10;57700;Computers;91711;95364;8
9;Mozambique Ball override;2019-12-26T01:44:40;2019-12-25T12:16:23;2019-12-25T22:35:36;44474;projection leading-edge monitor;51920;47236;9
10;Division application;2019-12-26T02:35:00;2019-12-26T03:08:48;2019-12-25T21:40:47;23983;Euro;7508;63291;10
