id;de;ate;motivo;ocorrencia_id
1;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;1
2;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;2
3;2019-12-26;2019-12-26;../fake-data/blob/hipster.txt;3
4;2019-12-25;2019-12-26;../fake-data/blob/hipster.txt;4
5;2019-12-26;2019-12-26;../fake-data/blob/hipster.txt;5
6;2019-12-26;2019-12-25;../fake-data/blob/hipster.txt;6
7;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;7
8;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;8
9;2019-12-25;2019-12-25;../fake-data/blob/hipster.txt;9
10;2019-12-25;2019-12-26;../fake-data/blob/hipster.txt;10
