id;profissao;cargo;faixa_salarial;nome_empresa;contacto_empresa;pessoa_id
1;Principal Alabama JSON;primary;15078;copying Tactics deposit;Manors;1
2;Rustic;programming infrastructures Towels;13801;protocol user-facing;Incredible Rubber Towels;2
3;deposit Niue;Buckinghamshire;16141;system;Refined application repurpose;3
4;Personal Loan Account;Michigan cyan;62401;Rustic Frozen Gloves Generic Soft Shoes Toys;success Morocco;4
5;Assurance transmit;responsive Cambridgeshire solutions;41027;mint green;card Planner bypassing;5
6;Forward;quantifying;44322;RAM;world-class Table grey;6
7;Outdoors;Metal Generic Steel Car yellow;34173;expedite Computers Soft;enterprise;7
8;Libyan Dinar Auto Loan Account;Auto Loan Account;45120;Home Loan Account web-enabled Lilangeni;Licensed parsing Seychelles Rupee;8
9;Factors;attitude lime;52871;system engine;Proactive AI;9
10;index coherent collaboration;haptic;92722;Valley Views;Won FTP;10
