id;data;numero;observacao;ano_lectivo;perido_lectivo;aluno_id;categoria_id;turma_id
1;2019-12-25T17:47:48;17122;../fake-data/blob/hipster.txt;87408;Personal Loan Account Investor;1;1;1
2;2019-12-26T07:01:07;2964;../fake-data/blob/hipster.txt;65206;USB;2;2;2
3;2019-12-25T11:54:30;61626;../fake-data/blob/hipster.txt;5759;Buckinghamshire deposit Electronics;3;3;3
4;2019-12-26T08:15:19;1874;../fake-data/blob/hipster.txt;39293;Mews magenta;4;4;4
5;2019-12-26T02:43:29;8715;../fake-data/blob/hipster.txt;77431;bypassing synthesizing Steel;5;5;5
6;2019-12-26T05:36:31;62596;../fake-data/blob/hipster.txt;96841;Technician Generic hacking;6;6;6
7;2019-12-26T06:49:27;7968;../fake-data/blob/hipster.txt;62825;mission-critical Saint Barthelemy;7;7;7
8;2019-12-25T22:45:20;32842;../fake-data/blob/hipster.txt;94536;Assistant bus;8;8;8
9;2019-12-25T23:53:00;46932;../fake-data/blob/hipster.txt;26160;matrix;9;9;9
10;2019-12-25T12:48:23;90826;../fake-data/blob/hipster.txt;31067;Colorado digital;10;10;10
