id;tipo;data;numero;reportar_encarregado;matricula_id
1;hack;2019-12-26T00:48:58;synthesize Shoes Pennsylvania;false;1
2;transmitting ROI;2019-12-26T07:49:47;Gorgeous Wooden Sausages Regional Namibia;false;2
3;red;2019-12-25T22:09:42;Outdoors;true;3
4;Metrics;2019-12-26T05:40:41;California;true;4
5;service-desk lime Beauty;2019-12-25T11:43:07;Investor Rubber;false;5
6;Ukraine CSS;2019-12-26T08:55:35;Egyptian Pound fresh-thinking;true;6
7;auxiliary Devolved Cotton;2019-12-25T18:10:04;Spurs;true;7
8;Macao transmitter Phased;2019-12-26T04:02:49;moderator database Incredible Wooden Ball;true;8
9;overriding;2019-12-25T13:32:26;Dominican Peso Iowa Pakistan;true;9
10;USB;2019-12-26T08:51:41;Unbranded Wells Operations;true;10
